country;iso;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Kazakhstan;KAZ;10.13;13.69;9.80;8.93;8.84;8.73;9.54;7.66;1.38;-0.79;5.79;5.87;3.33;4.49;2.68;-0.27;-0.33;2.69;2.74;3.16;-3.76
Kenya;KEN;-2.29;0.68;-2.46;-0.08;2.01;2.80;3.35;3.73;-2.71;0.29;5.06;2.37;1.96;1.33;2.64;2.68;1.94;1.60;3.52;3.05;-2.23
Kyrgyz Republic;KGZ;4.19;4.33;-0.93;5.91;5.74;-1.30;2.00;7.51;7.38;1.65;-1.65;4.67;-1.74;8.74;1.96;1.76;2.23;2.73;1.71;2.44;-10.12
Cambodia;KHM;8.00;6.23;4.68;6.59;8.40;11.28;8.87;8.31;4.94;-1.41;4.43;5.52;5.77;5.83;5.66;5.53;5.52;5.60;6.16;5.85;-4.21
Kiribati;KIR;4.41;-3.33;1.69;-0.05;-3.59;2.88;-1.97;0.12;-3.94;-1.13;-2.95;0.03;3.49;2.61;-2.54;8.24;-1.99;-1.78;3.64;-2.12;-2.29
St. Kitts and Nevis;KNA;8.50;4.05;0.76;-4.28;3.66;9.39;2.82;0.30;10.85;-3.64;-0.20;1.24;-0.82;5.62;7.53;0.71;3.93;0.01;2.10;4.15;-14.41
Korea, Rep.;KOR;8.15;4.05;7.10;2.61;4.78;4.09;4.71;5.27;2.23;0.28;6.27;2.89;1.87;2.70;2.56;2.27;2.54;2.87;2.46;1.89;-0.85
Kuwait;KWT;1.58;-2.64;0.21;14.30;7.58;6.56;1.69;-0.07;-3.09;-11.88;-7.27;2.64;-1.25;-5.84;-2.57;-3.19;-0.62;-6.49;-2.13;-3.33;-7.17
Latin America & Caribbean (excluding high income);LAC;2.05;-1.20;-0.93;1.17;4.11;2.79;3.93;4.25;2.69;-3.15;5.61;3.31;1.24;1.76;0.29;-0.62;-1.32;0.93;0.53;-0.37;-7.35
Lao PDR;LAO;4.03;4.05;4.29;4.52;4.90;5.56;6.91;5.91;6.16;5.88;6.92;6.47;6.49;6.52;6.15;5.75;5.41;5.26;4.65;3.89;-0.97
Lebanon;LBN;-0.31;2.22;2.09;1.89;5.05;1.18;-0.10;7.27;7.33;8.82;7.01;-0.12;-0.08;-5.32;-7.24;-1.49;3.83;3.25;0.91;-4.44;-19.75
